day,month,year,opening_value,close_value,min_value,max_value,volume
15,6,2007,15121.400,15252.100,15110.800,15288.500,7123399
14,6,2007,14938.000,15078.400,14927.500,15076.700,5285946
13,6,2007,14722.800,14829.800,14638.100,14842.400,5140034
12,6,2007,14920.700,14764.300,14704.700,14951.000,4639529
11,6,2007,14908.800,14940.600,14870.100,14977.900,3764770
8,6,2007,14644.200,14816.500,14604.600,14874.200,5388945
7,6,2007,0.000,14725.900,14678.300,15042.000,6711487
6,6,2007,15280.100,14928.800,14925.400,15282.400,6102005
5,6,2007,15435.500,15314.900,15304.800,15461.900,4250272
4,6,2007,15482.200,15414.300,15372.500,15511.800,3876772
1,6,2007,15330.400,15501.500,15321.500,15543.800,5445199
31,5,2007,15283.900,15329.400,15243.800,15340.500,5535106
30,5,2007,15107.700,15137.300,15035.400,15144.400,3160708
29,5,2007,15163.300,15188.600,15123.800,15198.600,3918932
28,5,2007,15097.900,15124.600,15067.700,15126.700,986067
25,5,2007,15047.000,15053.200,14970.100,15086.300,3601543
24,5,2007,15138.400,15094.900,15082.700,15220.000,3675678
23,5,2007,15081.400,15223.900,15072.700,15217.100,3845639
22,5,2007,15056.200,15070.900,15015.100,15107.800,2997039
21,5,2007,15108.500,15055.500,15042.000,15158.500,3482145
18,5,2007,15007.300,15068.400,14937.300,15114.300,4918302
17,5,2007,14929.600,14968.200,14899.400,14997.600,3210519
16,5,2007,14791.800,14918.800,14763.800,14928.500,4251103
15,5,2007,14672.600,14824.200,14650.900,14811.300,4185541
14,5,2007,14780.900,14686.000,14668.800,14796.700,2871637
11,5,2007,14475.800,14736.300,14449.300,14751.100,4687749
10,5,2007,14625.800,14575.400,14500.700,14712.300,4500274
9,5,2007,14613.700,14609.400,14513.900,14647.100,3619928
8,5,2007,14661.400,14556.700,14508.300,14664.600,3716894
7,5,2007,14667.700,14672.100,14566.400,14693.000,2710550
4,5,2007,14430.200,14620.300,14426.200,14636.500,5781678
3,5,2007,14452.700,14395.600,14176.000,14454.600,4941210
2,5,2007,14421.800,14416.900,14363.000,14462.900,3621787
30,4,2007,14386.000,14374.600,14354.900,14532.600,3288075
27,4,2007,14612.100,14403.600,14342.000,14618.300,4295731
26,4,2007,14789.700,14611.000,14570.300,14789.700,5064033
25,4,2007,14594.400,14620.400,14468.700,14635.400,5148321
24,4,2007,14956.300,14578.700,14516.500,14988.400,6989427
23,4,2007,15091.100,14987.100,14948.400,15111.700,2808400
20,4,2007,14860.000,15080.900,14857.000,15136.200,5616866
19,4,2007,14735.700,14821.700,14623.300,14805.900,4432941
18,4,2007,14910.400,14870.400,14800.100,14930.200,3783615
17,4,2007,15012.400,14966.000,14855.100,15020.300,3594555
16,4,2007,15008.800,15020.800,14999.200,15059.500,4003091
13,4,2007,14905.000,14965.300,14894.000,14984.500,3248807
12,4,2007,14971.900,14883.000,14775.200,14978.400,3859971
11,4,2007,15006.800,14997.600,14956.900,15063.800,3622292
10,4,2007,14973.000,15005.500,14908.000,15022.000,2908585
5,4,2007,14942.800,14974.900,14914.100,14970.200,2458472
4,4,2007,14979.100,14943.100,14891.000,14988.600,3783568
3,4,2007,14791.100,14953.200,14783.800,14972.000,6014764
2,4,2007,14619.900,14730.800,14580.500,14735.800,4173099
30,3,2007,14575.800,14641.700,14539.400,14730.400,4200855
29,3,2007,14529.400,14605.300,14519.500,14603.900,3888366
28,3,2007,14493.500,14483.000,14410.900,14535.500,3477758
27,3,2007,14561.900,14536.800,14495.700,14578.300,4586873
26,3,2007,14566.000,14469.600,14414.600,14626.000,4799240
23,3,2007,14486.100,14545.700,14433.200,14555.200,4163454
22,3,2007,14530.700,14490.100,14409.500,14541.000,4497352
21,3,2007,14333.900,14310.500,14275.700,14385.400,3973630
20,3,2007,14281.700,14323.200,14151.700,14311.500,4438143
19,3,2007,14101.600,14250.200,14093.200,14243.800,3902478
16,3,2007,13937.700,13977.400,13866.400,14039.600,6350494
15,3,2007,13776.500,13940.400,13755.900,13911.900,5635494
14,3,2007,13720.800,13602.400,13602.800,13794.200,6260974
13,3,2007,14141.900,13982.900,13982.500,14206.200,4080591
12,3,2007,14311.300,14146.500,14088.100,14359.800,3800607
9,3,2007,14197.100,14257.200,14098.100,14306.100,3490335
8,3,2007,14002.900,14194.000,13983.600,14201.000,4403198
7,3,2007,13919.200,13912.700,13823.800,13958.800,4491297
6,3,2007,13843.100,13825.900,13768.000,13859.300,3995109
5,3,2007,13689.800,13749.100,13654.900,13830.200,5587446
